layers,in,out,MACs,LUT,FF,BRAM,rf,total execution time,II
1,96,96,9216,33.59,2.21,0.00,1,56,6
2,96,96,18432,65.67,4.16,0.00,1,62,6
3,96,96,27648,97.78,6.11,0.00,1,68,6
4,96,96,36864,80.55,4.06,0.67,6,154,13
5,96,96,46080,77.71,3.39,3.33,8,168,13
6,96,96,55296,93.23,4.03,4.00,8,182,13
7,96,96,64512,78.99,6.26,52.08,12,238,16
8,96,96,73728,90.14,7.12,59.50,12,255,16
